,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025,,,,,,,,,,,,2026,,,,,,,,,,,
Período,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro
,,,,,,,,,,,,,,,,,,,,,,,,,
Drogaria Sabrina,,,,,,,,,,"-29,7","-29,7","-53,22","-53,22",,,,,,,,,,,,
Drogaria Sabrina,,,,,,,,,,,"-31,67","-31,67",,,,,,,,,,,,,
Drogaria Sabrina,,,,,"-26,07","-26,04","-26,04","-26,04","-26,04","-26,04","-40,71","-40,71",,,,,,,,,,,,,
Drogaria Sabrina,,,,,"-28,22","-28,22","-28,22","-28,22","-28,22","-28,22",,,,,,,,,,,,,,,
Drogaria Sabrina,,,,,"-44,04","-44,03","-44,03",,"-39,4","-39,37","-39,37","-39,37","-39,37","-39,37",,,,,,,,,,,
Drogaria Sabrina,,,,,"-34,83","-34,82","-34,82","-34,82","-34,82","-34,82",,,,,,,,,,,,,,,
Drogaria Sabrina,,,,,"-24,75","-24,75",,,"-31,64","-31,63","-31,63","-31,63","-31,63","-31,63",,,,,,,,,,,
Drogaria Sabrina,,,,,"-22,7","-22,7",,,"-36,77","-36,77",,,,,,,,,,,,,,,
Drogaria Sabrina,,,,,,,,,"-54,55","-54,55",,,,,,,,,,,,,,,
Drogaria Sabrina,,,,,,,,,"-27,74","-27,74",,,,,,,,,,,,,,,
Drogaria Sao Paulo,,,,,"-70,25","-70,25",,,,,,,,,,,,,,,,,,,
Ebanx *Spotify,"-34,9","-34,9","-34,9","-34,9","-34,9","-34,9","-34,9","-34,9","-34,9","-34,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9","-40,9"
Ec Dmvariedades,"-63,21","-63,16","-63,16","-63,16","-63,16","-63,16",,,,,,,,,,,,,,,,,,,
Ec Qconcurso,-12,-12,,,,,,,,,,,,,,,,,,,,,,,
Ec TruePaleo,,,,,,,,,,"-23,31","-23,3","-23,3",,,,,,,,,,,,,
Ensaio Laboratório ,"-121,5","-121,5",,,,,,,,,,,,,,,,,,,,,,,
Euforia,,,,,,,-95,-95,,,,,,,,,,,,,,,,,
Farmácia e Drogaria,"-133,2",,,,,,,,,,,,,,,,,,,,,,,,
Festolandia,"-42,28","-42,28","-42,28","-42,28","-42,28","-42,28","-42,28","-42,28","-42,28",,,,,,,,,,,,,,,,
Festolandia,,,,,,,,"-37,2","-37,16","-37,16","-37,16","-37,16","-37,16",,,,,,,,,,,,
Fisia Nike,,"-82,78","-82,72","-82,72","-82,72","-82,72","-82,72","-82,72","-82,72",,,,,,,,,,,,,,,,
Fisia Nike,,,,,,,,,"-82,72",,,,,,,,,,,,,,,,
Fisia Nike,,,,,,,,,"-82,72",,,,,,,,,,,,,,,,
Fisia Nike,,,,,,,,,"-82,72",,,,,,,,,,,,,,,,
Flore Foz do Iguaçú,,,,,,"-198,5","-198,5","-198,5","-198,5",,,,,,,,,,,,,,,,
Gesso Empório,,"-61,52","-61,51",,,,,,,,,,,,,,,,,,,,,,
Havaianas,,"-47,33","-47,32","-47,32","-47,32","-47,32","-47,32",,,,,,,,,,,,,,,,,,
Havaianas,,,,,,,-34,,"-33,98","-33,98",,,,,,,,,,,,,,,
Hering,,,,"-92,85","-92,82","-92,82","-92,82","-92,82","-92,82",,"-100,03","-100,03","-100,03","-100,03","-100,03","-100,03",,,,,,,,,
Hering,,,,"-66,67","-66,66","-66,66","-66,66","-66,66","-66,66",,,,,,,,,,,,,,,,
Hering,,,,,"-167,51","-167,49","-167,49","-167,49","-167,49","-167,49",,,,,,,,,,,,,,,
H2S4 Confecções,,"-120,08","-119,99","-119,99","-119,99","-119,99","-119,99","-119,99","-119,99","-119,99","-119,99",,,,,,,,,,,,,,
Hostins Vestu,,,,,,,,,,"-60,01","-59,99","-59,99",,,,,,,,,,,,,
Htp Catarina,,,,,"-48,02","-47,99","-47,99","-47,99","-47,99",,,,,,,,,,,,,,,,
Ikol Calçados,"-134,98","-134,98","-134,98","-134,98",,,"-60,08","-59,99","-59,99","-59,99","-59,99","-59,99","-59,99","-59,99","-59,99","-59,99",,,,,,,,,
Ikol Calçados,,"-144,84","-144,84","-144,84","-144,84","-144,84","-144,84","-144,84","-144,84","-144,84","-144,84",,,,,,,,,,,,,,
Ikol Calçados,,,,,,,,,,,-50,-50,-50,-50,,,,,,,,,,,
Ikol Calçados,,,"-59,68","-59,66","-59,66",,"-40,89",,"-40,89","-40,89","-40,89","-40,89","-40,89","-40,89","-40,89","-40,89","-40,89",,,,,,,,
Jockey Plaza,,,,,,,,,,"-54,99","-54,99","-54,99","-54,99","-54,99","-54,99","-54,99","-54,99","-54,99","-54,99",,,,,,
Joice Fernanda Registro,,,,,,"-112,45","-112,45","-112,45","-112,45","-112,45","-112,45",,,,,,,,,,,,,,
Joice Fernanda Registro,"-99,26","-99,26","-99,26","-99,26","-99,26",,,,,,,,,,,,,,,,,,,,
Jossemar da Silva,,,,,,,,"-113,79","-113,79","-113,79","-113,79","-113,79",,,,,,,,,,,,,
Laboratório Central,,-105,-105,-105,,,,,,,,,,,,,,,,,,,,,
Lentes,"-39,4","-39,4","-39,4","-39,4","-39,4",,,,,,,,,,,,,,,,,,,,
Lindt,"-106,33","-106,32","-106,32",,,,,,,,,,,,,,,,,,,,,,
Lojas Mari,"-32,48","-32,48","-32,48",,,,,,,,"-26,14","-26,14","-26,14","-26,14","-26,14","-26,14","-26,14","-26,14","-26,14","-26,14",,,,,
Lojas Mari,"-87,15","-87,15",,,,,,,,,,,,,,,,,,,,,,,
Lojas Mari,"-134,83","-134,82","-134,82","-134,82","-134,82","-134,82",,,,,,,,,,,,,,,,,,,
Lojas Mil,,,,,,"-141,49","-141,49","-141,49","-141,49","-141,49","-141,49","-141,49","-141,49","-141,49","-141,49",,,,,,,,,,
Lupo,"-51,65","-68,9","-68,9",,,,,,,,,,,,,,,,,,,,,,
Magalica,,,,,,,,,"-67,5","-67,5",,,,,,,,,,,,,,,
Mega Vest Casa,,,,,"-109,45","-109,41","-109,41","-109,41","-109,41","-109,41",,,,,,,,,,,,,,,
Melissa Shopp,,,,,,,,,,,"-49,98","-49,98","-49,98",,,,,,,,,,,,
Mercado Livre,"-47,46","-47,46","-47,46","-47,46","-47,46","-47,46","-53,06",,"-53,06","-53,06",,,,,,,,,,,,,,,
Mercado Livre,"-47,64","-47,64","-47,64","-47,64",,,,,,,,,,,,,,,,,,,,,
Mercado Livre,,,,"-34,4","-34,4","-34,4","-34,4","-34,4",,,,,,,,,,,,,,,,,
Mercado Livre,,,,"-33,14","-33,13","-33,13", ,,,,,,,,,,,,,,,,,,
Milon,,,,,,,,,,"-118,24","-118,23","-118,23",,,,,,,,,,,,,
Mp Closetapri,,,,,,,,,,"-31,27","-31,23","-31,23","-31,23","-31,23","-31,23",,,,,,,,,,
Mp Closetapri,,,,,,,,,,,"187,42",,,,,,,,,,,,,,
Mp Neaf,,,,,,,,,,,"-104,8","-104,8","-104,8",,,,,,,,,,,,
Nathalia Vitorino,,,,-250,-250,,,,,,,,,,,,,,,,,,,,
Nelio Antunes,,,,,,,,"-43,35","-43,31","-43,31","-43,31","-43,31","-43,31",,,,,,,,,,,,
Netflix,,,,"-59,9","-59,9","-59,9","-72,8","-72,8","-72,8","-72,8","-72,8","-72,8","-72,8",,,,,,,,,,,,
O Boticário,"-20,75","-20,75","-20,75","-20,75","-20,75",,,,,,,,,,,,,,,,,,,,
O Feirão do Sapato,,,,,,,"-67,5",,"-67,5",,,,,,,,,,,,,,,,
Oficial Farma,"-51,65","-51,64","-51,64","-51,64","-51,64",,,,,,,,,,,,,,,,,,,,
Opção Fitness,,,,,,,,"-112,34","-112,33","-112,33",,,,,,,,,,,,,,,
Ótica Vale do Ribeira,-100,-100,-100,-100,-100,-100,-100,,,,,,,,,,,,,,,,,,
Pag Beleza na Web,"-79,8","-79,8","-79,8","-79,8","-79,8","-79,8","-79,8",,,,,,,,,,,,,,,,,,
Pag Dedicação Delta,"-149,94",,,,,,,,,,,,,,,,,,,,,,,,
Pg mzd Comércio,,,,,,,,,,"-81,18","-81,17","-81,17",,,,,,,,,,,,,
Pernambucanas,,"-78,67","-78,65","-78,65",,,"-34,02","-33,99","-33,99","-33,99","-33,99","-33,99","-33,99","-33,99","-33,99","-33,99",,,,,,,,,
Pernambucanas,,,,,,,,"-35,81","-35,79","-35,79","-35,79","-35,79",,,,,,,,,,,,,
Pernambucanas,,,,,,,,,,"-38,66","-38,66","-38,66",,,,,,,,,,,,,
Pernambucanas,,,,,,,,,,,,"-69,99","-69,99","-69,99","-69,99",,,,,,,,,,
Pet Mais,,,,,,,,,"-59,66","-59,66","-59,66",,,,,,,,,,,,,,
Pet Vet,,,,,,,,,,"-46,25","-46,25","-46,25","-46,25",,,,,,,,,,,,
Pitchula Moda,,,,,,,,,"-62,5","-62,5","-62,5","-62,5","-62,5","-62,5",,,,,,,,,,,
Pitchula Moda,,,,,,,,,"-64,5","-64,5",,,,,,,,,,,,,,,
Pneu Free,"-252,34","-252,34","-252,34",,,,,,,,,,,,,,,,,,,,,,
Qualitty Suit SP,,,,,,,,,,,"-374,85","-374,85","-374,85","-374,85","-374,85",,,,,,,,,,
Renner,,,,,,,,"-109,33","-109,32","-109,32","-109,32","-109,32",,,,,,,,,,,,,
Rl Barigui,,,,,,,,,,"-69,98","-69,96","-69,96",,,,,,,,,,,,,
RR Agropecuária ,"-32,34","-32,33","-32,33",,,,,,,,,,,,,,,,,,,,,,
Rtanakaltda,,,,,,,,,,,"-21,14","-21,14","-21,14","-21,14","-21,14","-21,14",,,,,,,,,
Sabrina R3,-81,"-80,98","-80,98","-80,98","-80,98","-80,98",,,,,,,,,,,,,,,,,,,
Sephora Barigui,"-238,58","-238,5","-238,5","-238,5","-238,5","-238,5","-238,5","-238,5","-238,5","-238,5",,,,,,,,,,,,,,,
Shop Batel,,"-153,3","-153,3","-153,3","-153,3","-153,3",,,,,,,,,,,,,,,,,,,
Shopee,,,,,,,,,,"-74,73",,"-68,13","-68,13","-68,13","-68,13",,,,,,,,,,
Shopee,,,,,,,,,,"-74,71",,,,,,,,,,,,,,,
Shopee,,,,,,,,,,"-74,71",,,,,,,,,,,,,,,
Shopee,,,,,,,,,,"-74,71",,,,,,,,,,,,,,,
Smiles Fidelidade,"-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1","-269,1",,,,,,,,,
Stb Bazar Curitiba,,,,,,,,,,"-45,98","-45,97",,,,,,,,,,,,,,
Terapia da Beleza,,,,,,,,-220,-220,"-133,34","-133,33","-133,33",,,,,,,,,,,,,
Ticos Ticas,,,,,,,,,,,-74,-74,-74,,,,,,,,,,,,
Toy Store,,"-49,6","-49,56","-49,56","-49,56","-49,56","-49,56",,,,"-55,7","-55,7","-55,7","-55,7","-55,7","-55,7",,,,,,,,,
Tribal,,,,"-117,68","-117,66","-117,66",,,,,,,,,,,,,,,,,,,
Tribal,,,,"-93,5","-93,5",,,,,,,,,,,,,,,,,,,,
Vanessa Arcini,,,,,,,,-145,-145,,,,,,,,,,,,,,,,
Via Veneto,,"-181,96","-181,96","-181,96","-181,96","-181,96","-181,96","-181,96","-181,96","-181,96",,,,,,,,,,,,,,,
Via Veneto,,"-99,99","-99,99","-99,99","-99,99","-99,99","-99,99","-99,99","-99,99","-99,99",,,,,,,,,,,,,,,
Vindi Kojis,,,,,,,,,,"-96,02",-96,-96,-96,-96,-96,-96,-96,,,,,,,,
Vitória Régia,,,,,,,,,,,"-240,99","-240,99",,,,,,,,,,,,,
Vivara Batel,,-157,-157,-157,-157,-157,-157,-157,-157,-157,-157,,,,,,,,,,,,,,
W Love,,,,,,,,,,"-52,5","-52,5",,,,,,,,,,,,,,
ZH Acessórios,"-61,95","-61,97","-61,97","-61,97","-61,97","-61,97",,,,,,,,,,,,,,,,,,,
ZH Presentes,-52,,,,,,,,,,,,,,,,,,,,,,,,
7040 Barigui,,,,,,,,,,"-143,55","-143,55","-143,55","-143,55","-143,55",,,,,,,,,,,
7042 Shopping Eldorado,,"-143,4","-143,4","-143,4","-143,4",,,,,,,,,,,,,,,,,,,,
7042 Shopping Eldorado,,"-830,8","-830,8","-830,8","-830,8",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Bradesco:,,,,,,,,,,,,,,,,,,,,,,,,,
Advance,,,,,,,-126,-126,,,,,,,,,,,,,,,,,
Apple,"-49,9","-49,9","-49,9","-49,9","-49,9","-49,9","-49,9","-49,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9","-66,9"
Audi Center,"-236,08",,,,,,,,,,,,,,,,,,,,,,,,
Barigui (Zara),"-728,4","-728,4","-728,4",,,,,,,,,,,,,,,,,,,,,,
Barigui (Zara),"-86,33",,,,,,,,,,,,,,,,,,,,,,,,
Drogaria Flor da Vila,,,,,,"-54,62","-54,62",,,,,,,,,,,,,,,,,,
Drogaria Sabrina,,,,,,,"-72,45","-72,45",,,,,,,,,,,,,,,,,
Euforia,,,,,,,"-71,66","-71,67","-71,67",,,,,,,,,,,,,,,,
Euforia,,,,,,,"-57,5","-57,5",,,,,,,,,,,,,,,,,
Farmácia Nissei,"-67,59",,,,,,,,,,,,,,,,,,,,,,,,
Janaína Modas,,,,,,,"-131,66","-131,67","-131,67",,,,,,,,,,,,,,,,
Lojas Mari ,,,,,,,,,,"-50,01","-49,99","-49,99",,,,,,,,,,,,,
Lookeshop,"-1093,09","-1093,09","-1093,09",,"-1093,09","-1093,09","-1093,09",,,,,,,,,,,,,,,,,,
Lookeshop,"-557,92","-557,87","-557,87","-557,87","-557,87","-557,87","-557,87","-557,87","-557,87","-557,87",,,,,,,,,,,,,,,
Lookeshop,"-557,92","-557,87","-557,87","-557,87","-557,87","-557,87","-557,87","-557,87","-557,87","-557,87",,,,,,,,,,,,,,,
Lookeshop,,"-278,92","-278,92","-278,92","-278,92","-278,92","-278,92","-278,92","-278,92","-278,92","-278,92",,,,,,,,,,,,,,
Lookeshop,,"-278,92","-278,92","-278,92","-278,92","-278,92","-278,92","-278,92","-278,92","-278,92","-278,92",,,,,,,,,,,,,,
Lookeshop,,"-290,14","-290,07","-290,07","-290,07","-290,07","-290,07","-290,07","-290,07","-290,07","-290,07",,,,,,,,,,,,,,
PB Kids,"-139,99","-139,99","-139,99","-139,99",,,,,,,,,,,,,,,,,,,,,
Pet Vet,,,"-316,5","-316,5",,,,,,,,,,,,,,,,,,,,,
Samsung (ar),"-228,52","-228,52","-228,52","-228,52","-228,52","-228,52","-228,52","-228,52","-228,52",,,,,,,,,,,,,,,,
Store Lagoinha,,,"-76,65","-76,67","-76,67","-76,67","-76,67","-76,67",,,,,,,,,,,,,,,,,
ZP Samuel,,,,"-562,15","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11",,,,,,,,,,,,
ZP Samuel,,,,"-562,15","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11",,,,,,,,,,,,
ZP Samuel,,,,,,,"-562,15","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11",,,,,,,,,
ZP Samuel,,,,,,,,"-562,15","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11",,,,,,,,
ZP Samuel,,,,,,,,"-562,15","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11",,,,,,,,
,,,,,,,,,"-562,15","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11","-562,11",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Black/Sim:,,,,,,,,,,,,,,,,,,,,,,,,,
Ajuste de Crédito,,"0,2","0,02","0,02","-119,28","0,06","0,09","0,12","0,12","0,11","0,08",,,,,,,,,,,,,,
Audi Center,,,,,,,,,-124,-124,-124,-124,,,,,,,,,,,,,
A Página Estação,,"-54,95","-54,95","-54,95","-54,95",,,,,,,,,,,,,,,,,,,,
Blue Perfumes,,,,,"-31,65","-31,65","-31,65","-31,65","-31,65","-31,65",,,,,,,,,,,,,,,
Br Inner AI,,,,,,,,"-69,9","-69,9","-69,9","-69,9","-69,9","-69,9","-69,9","-69,9","-69,9","-69,9","-69,9","-69,9",,,,,,
Campos Materiais,,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,,,,,,,,,,,,
Carrefour,,,,,,,,,,-50,-50,-50,-50,-50,-50,-50,-50,,,,,,,,
Delírio Perfumaria,,"-53,66","-53,67","-53,67",,,,,,,,,,,,,,,,,,,,,
Drogaria Sabrina,,,,,,,,,,,"-36,96","-36,96","-36,96",,,,,,,,,,,,
Drogaria Sabrina,,,,,,,,,,,"-63,52","-63,52",,,,,,,,,,,,,
Drogaria Sabrina,,,,,,,,,,,"-51,19","-51,19",,,,,,,,,,,,,
Euforia Modas,,,,,"-68,34","-68,33","-68,33",,,,,,,,,,,,,,,,,,
Euforia Modas,,,,,-53,-53,-53,,,,,,,,,,,,,,,,,,
